delta,S,nu_min
0.11,12,NA
0.11,22,NA
0.11,32,NA
0.11,42,NA
0.11,52,NA
0.11,62,NA
0.11,72,NA
0.11,82,NA
0.11,92,NA
0.11,102,NA
0.11,112,NA
0.11,122,NA
0.11,132,NA
0.11,142,NA
0.11,152,NA
0.11,162,NA
0.11,172,NA
0.11,182,NA
0.11,192,NA
0.12,2,NA
0.12,12,NA
0.12,22,NA
0.12,32,NA
0.12,42,NA
0.12,52,NA
0.12,62,NA
0.12,72,NA
0.12,82,NA
0.12,92,NA
0.12,102,NA
0.12,112,NA
0.12,122,NA
0.12,132,NA
0.12,142,NA
0.12,152,NA
0.12,162,NA
0.12,172,NA
0.12,182,NA
0.12,192,NA
0.13,2,NA
0.13,12,NA
0.13,22,NA
0.13,32,NA
0.13,42,NA
0.13,52,NA
0.13,62,NA
0.13,72,NA
0.13,82,NA
0.13,92,NA
0.13,102,NA
0.13,112,NA
0.13,122,NA
0.13,132,NA
0.13,142,NA
0.13,152,NA
0.13,162,NA
0.13,172,NA
0.13,182,NA
0.13,192,NA
0.14,2,NA
0.14,12,NA
0.14,22,NA
0.14,32,NA
0.14,42,NA
0.14,52,NA
0.14,62,NA
0.14,72,NA
0.14,82,NA
0.14,92,NA
0.14,102,NA
0.14,112,NA
0.14,122,NA
0.14,132,NA
0.14,142,NA
0.14,152,NA
0.14,162,NA
0.14,172,NA
0.14,182,NA
0.14,192,NA
0.15000000000000002,2,NA
0.15000000000000002,12,NA
0.15000000000000002,22,NA
0.15000000000000002,32,NA
0.15000000000000002,42,NA
0.15000000000000002,52,NA
0.15000000000000002,62,NA
0.15000000000000002,72,NA
0.15000000000000002,82,NA
0.15000000000000002,92,NA
0.15000000000000002,102,NA
0.15000000000000002,112,NA
0.15000000000000002,122,NA
0.15000000000000002,132,NA
0.15000000000000002,142,NA
0.15000000000000002,152,NA
0.15000000000000002,162,NA
0.15000000000000002,172,NA
0.15000000000000002,182,NA
0.15000000000000002,192,NA
0.16,2,NA
0.16,12,NA
0.16,22,NA
0.16,32,NA
0.16,42,NA
0.16,52,NA
0.16,62,NA
0.16,72,NA
0.16,82,NA
0.16,92,NA
0.16,102,NA
0.16,112,NA
0.16,122,NA
0.16,132,NA
0.16,142,NA
0.16,152,NA
0.16,162,NA
0.16,172,NA
0.16,182,NA
0.16,192,NA
0.17,2,NA
0.17,12,NA
0.17,22,NA
0.17,32,NA
0.17,42,NA
0.17,52,NA
0.17,62,NA
0.17,72,NA
0.17,82,NA
0.17,92,NA
0.17,102,NA
0.17,112,NA
0.17,122,NA
0.17,132,NA
0.17,142,NA
0.17,152,NA
0.17,162,NA
0.17,172,NA
0.17,182,NA
0.17,192,NA
0.18000000000000002,2,NA
0.18000000000000002,12,NA
0.18000000000000002,22,NA
0.18000000000000002,32,NA
0.18000000000000002,42,NA
0.18000000000000002,52,NA
0.18000000000000002,62,NA
0.18000000000000002,72,NA
0.18000000000000002,82,NA
0.18000000000000002,92,NA
0.18000000000000002,102,NA
0.18000000000000002,112,NA
0.18000000000000002,122,NA
0.18000000000000002,132,NA
0.18000000000000002,142,NA
0.18000000000000002,152,NA
0.18000000000000002,162,NA
0.18000000000000002,172,NA
0.18000000000000002,182,NA
0.18000000000000002,192,NA
0.19,2,NA
0.19,12,NA
0.19,22,NA
0.19,32,NA
0.19,42,NA
0.19,52,NA
0.19,62,NA
0.19,72,NA
0.19,82,NA
0.19,92,NA
0.19,102,NA
0.19,112,NA
0.19,122,NA
0.19,132,NA
0.19,142,NA
0.19,152,NA
0.19,162,NA
0.19,172,NA
0.19,182,NA
0.19,192,NA
0.2,2,NA
0.2,12,NA
0.2,22,NA
0.2,32,NA
0.2,42,NA
0.2,52,NA
0.2,62,NA
0.2,72,NA
0.2,82,NA
0.2,92,NA
0.2,102,NA
0.2,112,NA
0.2,122,NA
0.2,132,NA
0.2,142,NA
0.2,152,NA
0.2,162,NA
0.2,172,NA
0.2,182,NA
0.2,192,NA
0.21000000000000002,2,NA
0.21000000000000002,12,NA
0.21000000000000002,22,NA
0.21000000000000002,32,NA
0.21000000000000002,42,NA
0.21000000000000002,52,NA
0.21000000000000002,62,NA
0.21000000000000002,72,NA
0.21000000000000002,82,NA
0.21000000000000002,92,NA
0.21000000000000002,102,NA
0.21000000000000002,112,NA
0.21000000000000002,122,NA
0.21000000000000002,132,NA
0.21000000000000002,142,NA
0.21000000000000002,152,NA
0.21000000000000002,162,NA
0.21000000000000002,172,NA
0.21000000000000002,182,NA
0.21000000000000002,192,NA
0.22,2,NA
0.22,12,NA
0.22,22,NA
0.22,32,NA
0.22,42,NA
0.22,52,NA
0.22,62,NA
0.22,72,NA
0.22,82,NA
0.22,92,NA
0.22,102,NA
0.22,112,NA
0.22,122,NA
0.22,132,NA
0.22,142,NA
0.22,152,NA
0.22,162,NA
0.22,172,NA
0.22,182,NA
0.22,192,NA
0.23,2,NA
0.23,12,NA
0.23,22,NA
0.23,32,NA
0.23,42,NA
0.23,52,NA
0.23,62,NA
0.23,72,NA
0.23,82,NA
0.23,92,NA
0.23,102,NA
0.23,112,NA
0.23,122,NA
0.23,132,NA
0.23,142,NA
0.23,152,NA
0.23,162,NA
0.23,172,NA
0.23,182,NA
0.23,192,NA
0.24000000000000002,2,NA
0.24000000000000002,12,NA
0.24000000000000002,22,NA
0.24000000000000002,32,NA
0.24000000000000002,42,NA
0.24000000000000002,52,NA
0.24000000000000002,62,NA
0.24000000000000002,72,NA
0.24000000000000002,82,NA
0.24000000000000002,92,NA
0.24000000000000002,102,NA
0.24000000000000002,112,NA
0.24000000000000002,122,NA
0.24000000000000002,132,NA
0.24000000000000002,142,NA
0.24000000000000002,152,NA
0.24000000000000002,162,NA
0.24000000000000002,172,NA
0.24000000000000002,182,NA
0.24000000000000002,192,NA
0.25,2,NA
0.25,12,NA
0.25,22,NA
0.25,32,NA
0.25,42,NA
0.25,52,NA
0.25,62,NA
0.25,72,NA
0.25,82,NA
0.25,92,NA
0.25,102,NA
0.25,112,NA
0.25,122,NA
0.25,132,NA
0.25,142,NA
0.25,152,NA
0.25,162,NA
0.25,172,NA
0.25,182,NA
0.25,192,NA
